source,target,weight
anterior cingulate area 24,area 23c,2
Precommissural nucleus,Subparafascicular nucleus magnocellular part,5
area 8,nucleus caudatus; body  intermediate  central,2
parietal operculum,mouth field of area 4,2
,inferotemporal cortex (visual area),2
area 8,nucleus caudatus; body  lateral  central,2
area 8,nucleus caudatus; body  lateral  dorsal,2
parietal operculum,agranular frontal area 1 (= primary motor area),2
parietal operculum,agranular frontal area 4 (= caudal ventrolateral premotor area),2
10,mediodorsal nucleus of thalamus,2
parietal operculum,agranular frontal area 5 (= rostral ventrolateral premotor area),2
area 8,nucleus caudatus; head  intermediate  central,2
,posterior inferior temporal cortex,2
Precommissural nucleus,Subparafascicular nucleus parvicellular part,5
,visual area 4,2
area 8,nucleus caudatus; head  lateral  central,2
lateral basal nucleus of the amygdala,accessory basal (magnocellular) nucleus of the amygdala,2
11,mediodorsal nucleus of thalamus,2
mediodorsal nucleus of thalamus,11,2
nucleus pulvinaris inferior thalami,posterior inferior temporal cortex,2
nucleus pulvinaris inferior thalami,visual area 4,2
Presubiculum,Entorhinal area,5
CA3,Dentate gyrus,5
Parasubiculum,Presubiculum,5
inferior nucleus of pulvinar  medial division,V4,2
CA3,Parasubiculum,5
Perirhinal cortex Area 36,EC,5
lateral basal nucleus of the amygdala,accessory basal amygdaloid nucleus  parvicellular part,2
superior parietal lobule,cortical area 46,2
superior parietal lobule,area 4,2
superior parietal lobule,area 6,2
lateral basal nucleus of the amygdala,accessory basal nucleus (amygdala),2
superior parietal lobule,area 8,2
Primary motor area,Parafascicular nucleus,5
5,cortical areas 1 & 2,2
Perirhinal cortex Area 35,Perirhinal cortex Area 35,5
46vr,second somatosensory area of cerebral cortex,2
Primary somatosensory area,Lateral dorsal nucleus of thalamus,5
Basolateral nucleus of the amygdala posterior part,Precommissural nucleus,5
Medial Entorhinal Area,Dentate gyrus,5
46vr,mediodorsal nucleus of thalamus,2
CA1,CA1,5
24,23,2
Medial Entorhinal Area,EC,5
24,anteroventral nucleus of thalamus,2
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 29a,5
anteroventral nucleus of thalamus,24,2
12,mediodorsal nucleus of thalamus,2
Perirhinal cortex Area 35,CA1,5
anterodorsal nucleus of thalamus,reticular nucleus of thalamus,2
lateral basal nucleus of the amygdala,amygdalohippocampal area,2
Postrhinal cortex,Presubiculum,5
Perirhinal cortex Area 36,Subiculum,5
RSC,Retrosplenial cortex Area 30,5
lateral basal nucleus of the amygdala,amygdalohippocampal area,2
CA3,Lateral Entorhinal Area,5
Id/g,second somatosensory area of cerebral cortex,2
23,ventral horn,2
RSC,Presubiculum,5
entorhinal cortex,subiculum,1
tegmentum,Mesopallium  intermediomediale,7
area 7,area 23,2
superior parietal lobule,area 24b,2
claustrum,dorsomedial visual area,2
retrosplenial area 30,principal sulcus,2
lateral basal nucleus of the amygdala,amygdala,2
lateral basal nucleus of the amygdala,anterior amygdaloid area,2
Medial Entorhinal Area,Dentate gyrus,5
Perirhinal cortex Area 36,CA1,5
Lateral Entorhinal Area,Subiculum,5
Postrhinal cortex,RSC,5
Medial Entorhinal Area,Subiculum,5
Parasubiculum,CA1,5
Presubiculum,RSC,5
RSC,Medial Entorhinal Area,5
Perirhinal cortex Area 35,Postrhinal cortex,5
Dentate gyrus,Dentate gyrus,5
area 9,putamen; rostral  intermediate  ventral,2
area 9,putamen; rostral  lateral  central,2
Perirhinal cortex Area 35,Lateral Entorhinal Area,5
CA1,Presubiculum,5
dorsal lateral geniculate nucleus,primary visual cortex,2
Subiculum,Medial Entorhinal Area,5
RSC,Cingulate,5
Perirhinal cortex Area 35,PER,5
mediodorsal nucleus of thalamus,46,2
area 9,putamen; rostral  lateral  dorsal,2
Perirhinal cortex Area 36,Subiculum,5
Retrosplenial cortex Area 30,Postrhinal cortex,5
CA3,CA1,5
Medial Entorhinal Area,RSC,5
Perirhinal cortex Area 35,CA1,5
Parasubiculum,Retrosplenial cortex Area 29c,5
EC,Presubiculum,5
Perirhinal cortex Area 36,Cingulate,5
Retrosplenial cortex Area 29ab unspecified,Presubiculum,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29c,5
lateral basal nucleus of the amygdala,central nucleus of the amygdala,2
Postrhinal cortex,Presubiculum,5
area 9,putamen; rostral  lateral  ventral,2
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 29b,5
Retrosplenial cortex Area 29a,Retrosplenial cortex Area 29c,5
Medial Entorhinal Area,RSC,5
area 9,putamen; rostral  medial  central,2
area 9,putamen; rostral  medial  ventral,2
Dentate gyrus,Dentate gyrus,5
Medial Entorhinal Area,PER,5
Lateral Entorhinal Area,CA1,5
24,mediodorsal nucleus of thalamus,2
CA1,Subiculum,5
Perirhinal cortex Area 35,CA1,5
CA1,Subiculum,5
Retrosplenial cortex Area 30,Parasubiculum,5
Lateral Entorhinal Area,CA3,5
Medial Entorhinal Area,Parasubiculum,5
Retrosplenial cortex Area 29b,Retrosplenial cortex Area 29c,5
CA1,Subiculum,5
Retrosplenial cortex Area 29c,Subiculum,5
CA1,Parasubiculum,5
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 30,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 30,5
Lateral Entorhinal Area,CA3,5
Retrosplenial cortex Area 29ab unspecified,Medial Entorhinal Area,5
lateral basal nucleus of the amygdala,central nucleus of the amygdala,2
lateral basal nucleus of the amygdala,central nucleus of the amygdala,2
lateral basal nucleus of the amygdala,central nucleus of the amygdala,2
Medial Entorhinal Area,CA3,5
Subiculum,Lateral Entorhinal Area,5
46,mediodorsal nucleus of thalamus,2
Dentate gyrus,Medial Entorhinal Area,5
Subiculum,Lateral Entorhinal Area,5
Medial Entorhinal Area,Subiculum,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 30,5
Dentate gyrus,Dentate gyrus,5
Retrosplenial cortex Area 29c,Presubiculum,5
Subiculum,Parasubiculum,5
Lateral Entorhinal Area,Dentate gyrus,5
Presubiculum,Dentate gyrus,5
second somatosensory area of cerebral cortex,AIP,2
24,ventral horn,2
Precommissural nucleus,Substantia innominata,5
nucleus pulvinaris lateralis thalami,inferotemporal cortex (visual area),2
premotor area fba,mouth field of area 4,2
Ventral posterior,Visual area V4,2
premotor area fba,agranular frontal area 1 (= primary motor area),2
lateral basal nucleus of the amygdala,cortical nucleus (amygdala),2
lateral basal nucleus of the amygdala,corticoamygdalar transition area,2
nucleus pulvinaris lateralis thalami,posterior inferior temporal cortex,2
nucleus pulvinaris lateralis thalami,visual area 4,2
superior parietal lobule,supplementary motor area,2
premotor area fcbm,mouth field of area 4,2
25,mediodorsal nucleus of thalamus,2
lateral basal nucleus of the amygdala,lateral nucleus  amygdala,2
nucleus pulvinaris medialis thalami,inferotemporal cortex (visual area),2
Lateral hypothalamic area,Nucleus incertus diffuse part,5
claustrum,13,2
prefrontal area fd,supplementary motor area,2
interlaminar zones of the lgn,area 17,2
corpus geniculatum laterale  magnocellular part,area 17,2
corpus geniculatum laterale  parvocellular part,area 17,2
corpus geniculatum laterale  superficial layers,area 17,2
hilus of dentate gyrus,ca 3 field,1
nucleus ventralis lateralis thalami  pars caudocaudalis,premotor cortex  dorsal aspect,2
lateral basal nucleus of the amygdala,medial basal nucleus of the amygdala,2
lateral basal nucleus of the amygdala,medial basal nucleus of the amygdala,2
nucleus ventralis lateralis thalami  pars caudorostralis,primary motor area,2
prefrontal area fd,caudal cingulate motor area,2
nucleus ventralis lateralis thalami  pars caudorostralis,premotor cortex  dorsal aspect,2
lateral basal nucleus of the amygdala,medial nucleus of the amygdala,2
lateral basal nucleus of the amygdala,medial nucleus of the amygdala,2
nucleus ventralis lateralis thalami  pars caudorostralis,premotor cortex  dorsal aspect,2
prefrontal area fd,nucleus caudatus; tail,2
nucleus ventralis lateralis thalami  pars caudorostralis,premotor cortex  ventral aspect,2
hypothalamus,Nucleus lateralis magnocellularis nidopallii anterioris,7
prefrontal area fd,area 23a,2
nucleus geniculatus lateralis pars dorsalis principalis,nucleus dorsolateralis anterior thalamis  pars medialis,7
hypothalamus,nucleus rotundus,7
striatum,cerebellum,7
striatum,Hippocampus,7
Globus pallidus,Arcopallium,7
dorsal thalamus,septum,7
dorsal ventricular ridge,striatum,7
Nidopallium intermedium,dorsal ventricular ridge,7
tegmentum,Striatum mediale,7
dorsal pallium,Substantia nigra  pars compacta,7
Wulst,cerebellum,7
HIS/HD,tegmentum,7
HIS/HD,tectum,7
Hyperpallium apicale,pretectum,7
Nucleus entopalliallis,hypothalamus,7
Nucleus entopalliallis,thalamus,7
dorsal thalamus,septum,7
prefrontal area fd,area 23b,2
prefrontal area fd,area 24a,2
pallium,Hippocampus,7
MT,MST,2
nidopallium,Tuberculum olfactorium,7
tegmentum,Striatum mediale,7
nidopallium,dorsal ventricular ridge,7
Nidopallium frontale,Wulst,7
MT,FEF,2
nidopallium,Wulst,7
olfactory pallium,Wulst,7
Arcopallium,Nucleus basorostralis pallii,7
Arcopallium intermedium,nucleus laminaris,7
mesencephalon,Striatum mediale,7
Area L pallii,nucleus lemnisci laterlais pars dorsalis,7
field L2,nucleus lemnisci laterlais pars dorsalis,7
field L2,nucleus lemnisci lateralis pars ventralis,7
Area L pallii,nucleus lemnisci lateralis pars ventralis,7
Area L pallii,cerebellum,7
tegmentum,cerebellum,7
Arcopallium,cerebellum,7
dorsal thalamus,cerebellum,7
Striatum mediale,nucleus mesencephalicus lateralis pars dorsalis,7
Nidopallium frontale,nucleus mesencephalicus lateralis pars dorsalis,7
superior parietal lobule,temporoparietal cortex,2
diencephalon,Striatum mediale,7
nidopallium,ectostriatum pars centralis,7
hippocampal complex,Wulst,7
hippocampal complex,Wulst,7
